"plot","Black Woodpecker - Dryocopus martius","Blackbird - Turdus merula","Blackcap - Sylvia atricapilla","Blue Tit - Cyanistes caeruleus","Carrion Crow - Corvus corone","Chaffinch - Fringilla coelebs","Coal Tit - Periparus ater","Collared Dove - Streptopelia decaocto","Common Buzzard - Buteo buteo","Common Chiffchaff - Phylloscopus collybita","Common Cuckoo - Cuculus canorus","Common Starling - Sturnus vulgaris","Common Whitethroat - Sylvia communis","Dunnock - Prunella modularis","Eurasian Nuthatch - Sitta europaea","G S Woodpecker - Dendrocopos major","Garden Warbler - Sylvia borin","Goldcrest - Regulus regulus","Great Tit - Parus major","Green Woodpecker - Picus viridis","Greenfinch - Chloris chloris","Grey Heron - Ardea cinerea","Jay - Garrulus glandarius","L S Woodpecker - Dryobates minor","Long-tailed Tit - Aegithalos caudatus","M S Woodpecker - Dendrocoptes medius","Magpie - Pica pica","Mistle Thrush - Turdus viscivorus","Northern Goshawk - Accipiter gentilis","Pheasant - Phasianus colchicus","Robin - Erithacus rubecula","S-t Treecreeper - Certhia brachydactyla","Song Thrush - Turdus philomelos","Sparrowhawk - Accipiter nisus","Spotted Flycatcher - Muscicapa striata","Stock Dove - Columba oenas","Tawny Owl - Strix aluco","Western Jackdaw - Coloeus monedula","Wood Pigeon - Columba palumbus","Wren - Troglodytes troglodytes"
31,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,3
32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
34,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0
35,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2
36,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
37,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0
39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0
40,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
41,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2
44,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
45,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
46,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1
47,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,1
48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1
49,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
50,0,1,0,3,0,2,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
51,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
52,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
53,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
